LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION
0002699797-0001-5,HOMESTATE HOLLYWOOD LLC,HOMESTATE,4624 HOLLYWOOD BLVD,LOS ANGELES,4624 HOLLYWOOD 90027-5408,,,,722110,Full-service restaurants,13,09/02/2013,,"(34.1, -118.2899)"
0002962344-0001-7,MIDNIGHT TURKEY CLUB,,2619 W SUNSET BLVD,LOS ANGELES,2619 SUNSET 90026-3905,606   PARKMAN AVENUE   APARTMENT #6,LOS ANGELES,90026-3773,722110,Full-service restaurants,13,07/21/2016,,"(34.0805, -118.2699)"
0003096177-0001-9,ELIA GUIZAR,EL MICHOACANO NO. 3,10501   MAGNOLIA BLVD,NORTH HOLLYWOOD,10501 MAGNOLIA 91601-4113,,,,722110,Full-service restaurants,4,01/01/2018,,"(34.1652, -118.3599)"
0000782989-0001-6,MI PUEBLO CHAPIN INC,,2821 1/2 S VERMONT AVENUE,LOS ANGELES,2821 VERMONT 90007-2769,1245 W 25TH STREET,LOS ANGELES,90007-1740,722110,Full-service restaurants,8,01/07/2003,,"(34.0293, -118.2915)"
0002833111-0002-7,ASIAN BOX PALO ALTO LLC,ASIAN BOX,10250   SANTA MONICA BLVD   #FC3,LOS ANGELES,10250 SANTA MONICA 90067-6501,2706   MIDDLEFIELD ROAD,PALO ALTO,94306-2517,722110,Full-service restaurants,5,09/27/2017,,"(34.06, -118.4198)"
0003010826-0001-9,JINSHEM ENTERPRISE LLC,SZECHWAN INN,22323   SHERMAN WAY   SUITE #18,CANOGA PARK,22323 SHERMAN 91303-4313,8655   WILLIS AVENUE   #105,PANORAMA CITY,91402-2863,722110,Full-service restaurants,3,10/05/2017,,"(34.2018, -118.6127)"
0002745652-0001-4,PARASOL NINE INC,OCHA CLASSIC RESTAURANT,5310 HOLLYWOOD BLVD,LOS ANGELES,5310 HOLLYWOOD 90027-4911,5310   HOLLYWOOD BLVD,LOS ANGELES,90027-4911,722110,Full-service restaurants,13,05/01/2014,,"(34.1017, -118.3059)"
0003044669-0001-9,HADIS TAGHINEJAD,ALIBABA RESTAURANT,7590 N GLENOAKS BLVD,BURBANK,7590 GLENOAKS 91504-1003,19120   ERWIN STREET,TARZANA,91335-6706,722110,Full-service restaurants,2,04/08/2018,,"(34.2089, -118.3431)"
0000479826-0001-1,HOWARD H/BEVERLY HIGGINSON,HOWARDS CAR WASH,317 E MANCHESTER AVENUE,LOS ANGELES,317 MANCHESTER 90003-3521,4744 ROUND TOP DRIVE,LOS ANGELES,90065-5227,722110,Full-service restaurants,9,10/20/1983,,"(33.9601, -118.2686)"
0002574693-0002-2,BUL SAMGYE TANG INC,,859 S WESTERN AVENUE,LOS ANGELES,859 WESTERN 90005-3302,,,,722110,Full-service restaurants,10,05/15/2019,,"(34.0566, -118.3092)"
0000902995-0003-8,MASTER BURGER INC,MASTER BURGERS #4,1001 S BROADWAY,LOS ANGELES,1001 BROADWAY 90015-4034,4419 S WESTERN AVENUE,LOS ANGELES,90062-1606,722110,Full-service restaurants,14,03/11/2018,,"(34.0408, -118.2579)"
0003015028-0001-9,GUADALUPE LETTY VALLE,LA FLOR DE JARIPO,14692  1/2   PARTHENIA STREET,PANORAMA CITY,14692 PARTHENIA 91402-2917,,,,722110,Full-service restaurants,6,11/01/2017,,"(34.2278, -118.4532)"
0000486068-0047-1,CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL #3119,1122 W 6TH STREET   SUITE #101,LOS ANGELES,1122 6TH 90017-1893,1401   WYNKOOP STREET   SUITE #500,DENVER,80202-1729,722110,Full-service restaurants,1,01/18/2018,,"(34.0543, -118.2629)"
0000212956-0001-0,ARTISTIC INTERNATIONAL CATERING CORPORATION,ARTISTIC INTERNATIONAL CATERING & BAKERY | SYMPHONY IN ICE,7316 VARNA AVENUE,N HOLLYWOOD,7316 VARNA 91605-4008,,,,722110,Full-service restaurants,2,07/01/2004,,"(34.2037, -118.4247)"
0002602162-0003-1,REINA OLIVARRIA,REYNAS PUPUSERIA #3,5901 S NORMANDIE AVENUE,LOS ANGELES,5901 NORMANDIE 90044-2818,,,,722110,Full-service restaurants,8,10/01/2017,,"(33.9873, -118.3004)"
0002355867-0002-0,DAEJANGKUM ENTERPRISE INC,CHICKEN WARRIORS,3014 W 7TH STREET,LOS ANGELES,3014 7TH 90005-1488,,,,722110,Full-service restaurants,1,08/14/2009,,"(34.0597, -118.2895)"
0002892167-0001-5,"DAP DINING, INC",,901 E 1ST STREET,LOS ANGELES,901 1ST 90012-4007,,,,722110,Full-service restaurants,14,05/29/2015,,"(34.0487, -118.2337)"
0000705547-0014-2,THE PATINA GROUP NEWCO LLC,RAY'S RESTAURANT & STARK BAR,5905 WILSHIRE BLVD,LOS ANGELES,5905 WILSHIRE 90036-4504,250   DELAWARE AVENUE   FLOOR #12TH,BUFFALO,14202-2014,722110,Full-service restaurants,4,01/28/2011,,"(34.0626, -118.358)"
0003092887-0001-1,"RED PIG, INC.",,3101 W 8TH STREET,LOS ANGELES,3101 8TH 90005,3101 W 8TH STREET,LOS ANGELES,90005-1902,722110,Full-service restaurants,10,01/04/2019,,"(34.058, -118.2944)"
0002659997-0003-2,LS CONCESSIONS MANAGEMENT AT LAX TBIT LLC,P.F.CHANG'S,"1   WORLD WAY   SPACE #T71,T73-74",LOS ANGELES,1 WORLD 90045-5803,2849   PACES FERRY ROAD SE SUITE #400,ATLANTA,30339-3769,722110,Full-service restaurants,11,05/08/2018,,"(33.9439, -118.4025)"
0002833003-0002-4,NARONKSAK BHANDUARAM,PA ORD EXPRESS,5301 W SUNSET BLVD   SUITE #11,LOS ANGELES,5301 SUNSET 90027-5694,,,,722110,Full-service restaurants,13,03/16/2018,,"(34.0985, -118.306)"
0003117189-0001-3,LIVE CHEVRE INC,,3624 W 3RD STREET,LOS ANGELES,3624 3RD 90020,3624 W 3RD STREET,LOS ANGELES,90020-2008,722110,Full-service restaurants,10,04/03/2019,,"(34.0689, -118.2948)"
0003043530-0001-1,CALI FRESH GRILL INC,CALI FRESH MEXICAN GRILL,8015   LANKERSHIM BLVD,NORTH HOLLYWOOD,8015 LANKERSHIM 91605-1610,12400   VENTURA BLVD   #1063,STUDIO CITY,91604-2406,722110,Full-service restaurants,6,03/20/2018,,"(34.2166, -118.3879)"
0003129561-0001-3,LUCIA CHOI,FEI XIANG GONG,356 S WESTERN AVENUE   SUITE #203,LOS ANGELES,356 WESTERN 90020,356 S WESTERN AVENUE   SUITE #203-204,LOS ANGELES,90020-3836,722110,Full-service restaurants,10,06/26/2019,,"(34.0674, -118.3087)"
0003055903-0001-8,IDAN KLEIN,SUNNYSIDEUP,2114   COLORADO BLVD,LOS ANGELES,2114 COLORADO 90041-1222,,,,722110,Full-service restaurants,14,05/21/2018,,"(34.139, -118.2125)"
0003018153-0003-3,HAFA MANAGEMENT CORP,MCDONALD'S # 28364,8656   SEPULVEDA BLVD,NORTH HILLS,8656 SEPULVEDA 91343-5827,42913   CAPITAL DRIVE   UNIT #106,LANCASTER,93535-4556,722110,Full-service restaurants,6,11/01/2017,,"(34.228, -118.467)"
0000943962-0001-0,JESUS MORENO,,4127 S BROADWAY,LOS ANGELES,4127 BROADWAY 90037,,,,722110,Full-service restaurants,9,01/01/1999,,"(34.0082, -118.2783)"
0002722965-0002-0,BELCAMPO MEAT COMPANY LLC,BELCAMPO MEAT CO.,8053 W 3RD STREET,LOS ANGELES,8053 3RD 90048-4316,65 WEBSTER STREET,OAKLAND,94607-3720,722110,Full-service restaurants,5,06/29/2015,,"(34.0719, -118.3648)"
0003048985-0001-1,SAINT MARC USA,SAINT MARC,10250   SANTA MONICA BLVD   #1025,LOS ANGELES,10250 SANTA MONICA 90067-6501,,,,722110,Full-service restaurants,5,04/18/2018,,"(34.06, -118.4198)"
0002696330-0001-7,MONEY BACK BREWING COMPANY,BRACK SHOP TAVERN,525 W 7TH STREET,LOS ANGELES,525 7TH 90014-2501,525 W 7TH STREET,LOS ANGELES,90014-2501,722110,Full-service restaurants,14,01/01/2013,,"(34.0467, -118.2557)"
0002999065-0001-4,"BURGERIM SYLMAR, LLC",,13764   FOOTHILL BLVD,SYLMAR,13764 FOOTHILL 91342-3104,13764   FOOTHILL BLVD,SYLMAR,91342-3104,722110,Full-service restaurants,7,08/01/2017,,"(34.3094, -118.4331)"
0000760998-0001-8,ESTHER A BEARD,,230 N GAFFEY STREET,SAN PEDRO,230 GAFFEY 90731-1922,,,,722110,Full-service restaurants,15,09/01/1966,,"(33.7446, -118.2922)"
0000875993-0005-6,DISTRIBUIDORA UNIVERSAL INC,LIMENO SALVADOREAN AND MEXICAN RESTAURANT,8700   VAN NUYS BLVD   SPACE #1004,PANORAMA CITY,8700 VAN NUYS 91402-2402,110 N MACLAY AVENUE   UNIT #112,SAN FERNANDO,91340-2986,722110,Full-service restaurants,6,01/01/2017,,"(34.2273, -118.4497)"
0003098591-0003-2,ZARA'S INVESTMENT LLC,DEL TACO,19309   ROSCOE BLVD,NORTHRIDGE,19309 ROSCOE 91324-4242,24711   REDLANDS BLVD   SUITE #F,LOMA LINDA,92354-4010,722110,Full-service restaurants,12,02/06/2019,,"(34.2208, -118.5539)"
0000486068-0020-0,CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL,9205 RESEDA BLVD,NORTHRIDGE,9205 RESEDA 91324-3137,POST OFFICE BOX #182566,COLUMBUS,43218-2566,722110,Full-service restaurants,12,08/18/2005,,"(34.2373, -118.536)"
0003007704-0001-9,CARLOS RAMIREZ HERNANDEZ,MEXICALPAN RESTAURANT,9518 S MAIN STREET,LOS ANGELES,9518 MAIN 90003-4223,14512 S WHITE AVENUE,COMPTON,90221-2446,722110,Full-service restaurants,8,09/18/2017,,"(33.9495, -118.2736)"
0002999766-0001-6,"CWT GROUP THREE, LLC",BAJA FRESH MEXICAN GRILL,5780   CANOGA AVENUE,WOODLAND HILLS,5780 CANOGA 91367-6588,3761 S HILL STREET,LOS ANGELES,90007-4339,722110,Full-service restaurants,3,03/23/2017,,"(34.1748, -118.5969)"
0003113006-0001-3,AGRG GROUP INC,,19527   VENTURA BLVD,TARZANA,19527 VENTURA 91356-7120,,,,722110,Full-service restaurants,3,03/12/2019,,"(34.1731, -118.5591)"
0000195355-0063-3,PANDA EXPRESS INC,PANDA EXPRESS #3272,17200 VENTURA BLVD SUITE #224,ENCINO,17200 VENTURA 91316-4005,1683 WALNUT GROVE AVENUE,ROSEMEAD,91770-3711,722110,Full-service restaurants,5,10/01/2019,,"(34.1599, -118.5078)"
0002484443-0007-0,TYP RESTAURANT GROUP INC,TENDER GREENS,6344 TOPANGA CANYON BLVD SUITE #1050,WOODLAND HILLS,6344 TOPANGA CANYON 91367-2214,1201 W 5TH STREET   SUITE #T-400,LOS ANGELES,90017-2090,722110,Full-service restaurants,3,09/14/2015,,"(34.1859, -118.6058)"
0003032066-0001-5,PHOVORITE LLC,,10026   VENICE BLVD,CULVER CITY,10026 VENICE 90232-2720,,,,722110,Full-service restaurants,5,01/02/2018,,"(34.0223, -118.3997)"
0003159105-0001-6,SHEYLA NYROBI HERNANDEZ SCHEEL,NYRO'S LATIN FLAVA KITCHEN,13302 FILMORE STREET,PACOIMA,13302 Filmore 91331-2415,16200 COMMUNITY COURT,NORTH HILLS,91343-6214,722110,Full-service restaurants,14,11/01/2019,,"(34.2708, -118.4224)"
0002114551-0021-7,WOLFGANG PUCK CATERING AND EVENTS LLC,,2000   AVENUE OF THE STARS,LOS ANGELES,2000 AVENUE OF THE STARS 90067-4700,818 W 7TH STREET   SUITE #440,LOS ANGELES,90017-3463,722110,Full-service restaurants,5,05/28/2019,,"(34.0589, -118.4159)"
0000971287-0001-7,SANCHEZ FAMILY CORPORATION III,MCDONALDS #24341,1111 S FIGUEROA STREET,LOS ANGELES,1111 FIGUEROA 90015-1300,POST OFFICE BOX #531,VICTORVILLE,92393-0531,722110,Full-service restaurants,14,10/17/1999,,"(34.0435, -118.2653)"
0000486068-0036-6,CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL #1681,16959 DEVONSHIRE STREET,GRANADA HILLS,16959 DEVONSHIRE 91344-7407,POST OFFICE BOX #182566,COLUMBUS,43218-2566,722110,Full-service restaurants,12,05/08/2014,,"(34.2575, -118.5014)"
0003065461-0001-6,PAPAS CHICKEN RESTAURANT INC,,3003 W OLYMPIC BLVD   SUITE #103,LOS ANGELES,3003 OLYMPIC 90006-6511,,,,722110,Full-service restaurants,10,07/20/2018,,"(34.0527, -118.3002)"
0000194211-0001-5,TOMAS MARTINEZ,ANA MARIA    STALL C9,317 S BROADWAY SPACE #A5,LOS ANGELES,317 BROADWAY 90013-1278,7629   SUVA STREET,DOWNEY,90240-3103,722110,Full-service restaurants,14,02/28/1995,,"(34.0507, -118.2481)"
0003110023-0001-5,DO WORK SON CORP,GYOZA BOYZ LA,724 S SPRING STREET   SUITE #112,LOS ANGELES,724 SPRING 90014,724 S SPRING STREET   SUITE #112,LOS ANGELES,90014-2936,722110,Full-service restaurants,14,01/01/2019,,"(34.0438, -118.2528)"
0003029617-0001-5,JNT TOUJOURS INC,KEY BURGER,10971  1/2   GLENOAKS BLVD,PACOIMA,10971 GLENOAKS 91331-7342,,,,722110,Full-service restaurants,7,01/01/2018,,"(34.2691, -118.407)"
0000832924-0001-5,SINGAPORE'S BANANA LEAF INC,,6333 W 3RD STREET   UNIT #130,LOS ANGELES,6333 3RD 90036-3109,,,,722110,Full-service restaurants,4,01/20/2002,,"(34.0722, -118.3604)"
0003051073-0001-1,NORTHRIDGE KOPAN RAMEN INC,KOPAN RAMEN,19500   PLUMMER STREET   SUITE #B1,NORTHRIDGE,19500 PLUMMER 91324-2160,4405   FRUITLAND AVENUE,VERNON,90058-3222,722110,Full-service restaurants,12,05/01/2018,,"(34.2417, -118.5591)"
0003072751-0001-1,"V & V AFRICAN CUISINE, LLC",,15543   RAYEN STREET   APARTMENT #58,NORTH HILLS,15543 RAYEN 91343,15543   RAYEN STREET   SUITE #58,NORTH HILLS,91343-5092,722110,Full-service restaurants,7,08/17/2018,,"(34.2322, -118.4714)"
0003070348-0001-2,HSMG PROPERTIES INC,BIRD'S NEST CAFE,2106 S OLIVE STREET,LOS ANGELES,2106 OLIVE 90007-1447,,,,722110,Full-service restaurants,9,08/15/2018,,"(34.0299, -118.2687)"
0002898282-0001-1,818 RESTAURANT VENTURES LLC,CLAUDINE ARTISAN KITCHEN & BAKESHOP,16350   VENTURA BLVD,ENCINO,16350 VENTURA 91436-5300,16350   VENTURA BLVD   #F,ENCINO,91436-5300,722110,Full-service restaurants,5,03/24/2016,,"(34.1568, -118.4893)"
0002876009-0001-1,VOLTEX INTERNATIONAL FOOD INC,TORIGOYA,123   ASTRONAUT E S ONIZUKA STREET   SUITE #203,LOS ANGELES,123 ASTRONAUT E S ONIZUKA 90012-3847,,,,722110,Full-service restaurants,14,01/02/2016,,"(34.0503, -118.242)"
0000317105-0010-2,SODEXO MAGIC LLC,,1 LMU DRIVE,LOS ANGELES,1 LMU 90045-2650,POST OFFICE BOX #352,BUFFALO,14240-0352,722110,Full-service restaurants,11,01/01/2014,,"(33.9682, -118.4218)"
0002805443-0001-9,BURI TARA THAI RESTAURANT INC,,20929 VENTURA BLVD #33,WOODLAND HILLS,20929 VENTURA 91364-0818,21799   VENTURA BLVD,WOODLAND HILLS,91364-1835,722110,Full-service restaurants,3,01/02/2015,,"(34.1664, -118.5889)"
0003159189-0001-3,1739 PUBLIC HOUSE INC,"PUBLIC HOUSE, THE STUDY,ELECTRIC LOTUS",1745 N VERMONT AVENUE,LOS ANGELES,1745 VERMONT 90027,1745 N VERMONT AVENUE,LOS ANGELES,90027-4305,722110,Full-service restaurants,4,11/05/2019,,"(34.1028, -118.2922)"
0003076090-0001-3,DADA 26 ENTERPRISES LLC,,7574   WINNETKA AVENUE,WINNETKA,7574 WINNETKA 91306-2930,7574   WINNETKA AVENUE,WINNETKA,91306-2930,722110,Full-service restaurants,3,11/01/2018,,"(34.2081, -118.5707)"
0003105382-0001-7,ELMER MERLOS PORTILLO,ELMERINOS PIZZA INC,230 E 43RD STREET,LOS ANGELES,230 43RD 90011-3008,,,,722110,Full-service restaurants,9,02/19/2019,,"(34.0054, -118.2703)"
0000001228-0001-6,DIKRAN AND ANNY KESKERIAN TRS KESKERIAN FAMILY TRUST,,1611 W 12TH STREET,LOS ANGELES,1611 12TH 90015-1951,POST OFFICE BOX #480221,LOS ANGELES,90048-1221,722110,Full-service restaurants,1,02/24/1992,,"(34.0463, -118.2762)"
0000414986-0001-6,THE LITTLE ROCK INC,DARK HORSE TAVERN,5507 RESEDA BLVD,TARZANA,5507 RESEDA 91356-2607,POST OFFICE BOX #570896,TARZANA,91357-0896,722110,Full-service restaurants,3,10/02/1996,,"(34.1701, -118.536)"
0003122363-0001-5,AZAY CORP,AZAY,226 E 1ST STREET,LOS ANGELES,226 1ST 90012-3801,2146   CEDARHURST DRIVE,LOS ANGELES,90027-2109,722110,Full-service restaurants,14,04/26/2019,,"(34.051, -118.2419)"
0002080698-0001-7,ISAAC MEDINA/MARCOS MEDINA,"ISAAC'S CAFE, LLC",632 N FRIES AVENUE,WILMINGTON,632 FRIES 90744-5402,,,,722110,Full-service restaurants,15,11/29/2005,,"(33.7774, -118.2648)"
0003124144-0001-1,WOOJS ENTERTAINMENT INC,RECITAK KARAOKE,3500 W 6TH STREET   SUITE #330,LOS ANGELES,3500 6TH 90020,3500 W 6TH STREET   SUITE #330,LOS ANGELES,90020-5805,722110,Full-service restaurants,10,05/08/2019,,"(34.0632, -118.2986)"
0002827060-0001-7,4TH AT UNION INC,,445 S FIGUEROA STREET UNIT #102,LOS ANGELES,445 FIGUEROA 90071-1622,725 S FIGUEROA STREET UNIT #1580,LOS ANGELES,90017-5417,722110,Full-service restaurants,14,01/01/2015,,"(34.0529, -118.2564)"
0002371835-0001-5,STONEFIRE GRILL 5 INC,STONEFIRE GRILL,9229 WINNETKA AVENUE UNIT #D,CHATSWORTH,9229 WINNETKA 91311-8123,30401   AGOURA ROAD   SUITE #130,AGOURA HILLS,91301-2084,722110,Full-service restaurants,12,07/01/2007,,"(34.2378, -118.571)"
0003053910-0001-3,DAMARIS ADALY CENTENO / GUILLERMO ANTONIO ESCOBAR ROMERO,EXIIT BAR,12002 S FIGUEROA STREET,LOS ANGELES,12002 FIGUEROA 90061-1304,940 S MONTEBELLO BLVD   SUITE #C,MONTEBELLO,90640-5831,722110,Full-service restaurants,15,02/01/2018,,"(33.9237, -118.2825)"
0002971286-0001-1,HOLLYWOOD CAHUENGA RESTAURANT LLC,LUCHINI PIZZERIA & BAR,1607 N CAHUENGA BLVD,LOS ANGELES,1607 CAHUENGA 90028-6201,6421   SELMA AVENUE,LOS ANGELES,90028-7310,722110,Full-service restaurants,13,03/06/2017,,"(34.1, -118.3298)"
0002581346-0001-0,AMC HOSPITALITY LLC,CHICK-FIL-A AT NORTHRIDGE,8875 TAMPA AVENUE,NORTHRIDGE,8875 TAMPA 91324-3520,,,,722110,Full-service restaurants,12,10/12/2011,,"(34.2316, -118.5535)"
0003141456-0001-9,DOWNTOWN MEX LP,EL TEJANO,801 S GRAND AVENUE,LOS ANGELES,801 GRAND 90017-4613,12430   RIVERSIDE DRIVE,VALLEY VILLAGE,91607-3510,722110,Full-service restaurants,14,08/09/2019,,"(34.0456, -118.2587)"
0002956267-0011-0,ARTISANAL BREWERS COLLECTIVE LLC,6TH & LA BREA,600 S LA BREA AVENUE,LOS ANGELES,600 LA BREA 90036-3580,8990   CLAYBECK AVENUE,SUN VALLEY,91352-2705,722110,Full-service restaurants,4,10/01/2018,,"(34.0647, -118.3437)"
0003119307-0001-6,BARBAKUSH RESTAURANT,BARBAKUSH RESTAURANT,2635   WHITTIER BLVD,LOS ANGELES,2635 WHITTIER 90023-1446,,,,722110,Full-service restaurants,14,04/12/2019,,"(34.033, -118.2119)"
0002116672-0001-7,WEILAND BREWERY RESTAURANT II LLC,,505 S FLOWER STREET   UNIT #B 410,LOS ANGELES,505 FLOWER 90071-3674,,,,722110,Full-service restaurants,14,06/01/2006,,"(34.0515, -118.2564)"
0002572385-0004-5,BLAZIN WINGS INC,,9301 TAMPA AVENUE UNIT #200,NORTHRIDGE,9301 TAMPA 91324-5604,5500   WAYZATA BLVD   #1250,MINNEAPOLIS,55416-1281,722110,Full-service restaurants,12,07/14/2014,,"(34.2391, -118.5535)"
0003084885-0001-0,OCEAN FISH & CHICKEN,,4371   CRENSHAW BLVD,LOS ANGELES,4371 CRENSHAW 90008-4945,,,,722110,Full-service restaurants,8,11/13/2018,,"(34.0037, -118.3326)"
0003012151-0001-4,EMILE URBAN PALACIO,CARIBBEAN SOUL FOOD,1900   LOHENGRIN STREET,LOS ANGELES,1900 LOHENGRIN 90047-4707,,,,722110,Full-service restaurants,0,10/16/2017,,"(33.9349, -118.3117)"
0002472500-0001-0,CRUZ CORPORATION,MARISCOS GUADALAJARA | MARISCOS GUADALAJARA RESTAURANT,15319 ROSCOE BLVD,PANORAMA CITY,15319 ROSCOE 91402-4302,18621   SATICOY STREET   APARTMENT #212,RESEDA,91335-7445,722110,Full-service restaurants,6,11/09/2009,,
0003127920-0001-2,FELIPE GARCIA LOPEZ,F G KABOB MEDITERRANEAN FOOD,3560 S LA CIENEGA BLVD   SUITE #F,LOS ANGELES,3560 LA CIENEGA 90016-4400,2286 W 29TH PLACE,LOS ANGELES,90018-2540,722110,Full-service restaurants,10,05/28/2019,,"(34.0228, -118.3719)"
0003071066-0001-3,TATSUNOYA USA CORPORATION,RAMEN TATSUNOYA SILVER LAKE,3440 W SUNSET BLVD   UNIT #A,LOS ANGELES,3440 SUNSET 90026,16 N FAIR OAKS AVENUE,PASADENA,91103-3607,722110,Full-service restaurants,13,12/01/2018,,"(34.0882, -118.2766)"
0002650576-0001-6,VICTORIA'S KITCHEN LLC,,1976 S LA CIENEGA BLVD #179,LOS ANGELES,1976 LA CIENEGA 90034-1627,575   LEXINGTON AVENUE   FLOOR #4,NEW YORK,10022-6146,722110,Full-service restaurants,10,01/01/2012,,"(34.0407, -118.3768)"
0003023771-0001-4,NORVA FUSION INC,D' LUNCH SPOT,15315 S FIGUEROA STREET   #C,GARDENA,15315 FIGUEROA 90248-2144,,,,722110,Full-service restaurants,15,01/02/2018,,"(33.8924, -118.2834)"
0003038731-0001-2,DANCING SPOONS,,23406   SCHOOLCRAFT STREET,WEST HILLS,23406 SCHOOLCRAFT 91307-2419,,,,722110,Full-service restaurants,12,02/15/2018,,"(34.195, -118.6383)"
0003027338-0002-6,BR RESTAURANTS LLC,BB'S SMOKIN HOT AMERICAN GRILL,5424   LAUREL CANYON BLVD   #B,VALLEY VILLAGE,5424 LAUREL CANYON 91607-4612,,,,722110,Full-service restaurants,2,01/24/2018,,"(34.1693, -118.3961)"
0003017645-0001-6,HIT PARK USA INC,,18206 S WESTERN AVENUE,GARDENA,18206 WESTERN 90248-3819,,,,722110,Full-service restaurants,15,12/01/2017,,"(33.8651, -118.309)"
0003045397-0001-3,T DELDAR S INC,ALESSIO BISTRO RISTORANTE ITALIANO,6324   CANOGA AVENUE   SUITE #100,WOODLAND HILLS,6324 CANOGA 91367-2501,,,,722110,Full-service restaurants,3,03/29/2018,,"(34.1857, -118.5973)"
0000935454-0003-9,P F CHANG'S CHINA BISTRO INC,,15301 VENTURA BLVD #P 22,SHERMAN OAKS,15301 VENTURA 91403-3102,8377 E HARTFORD DRIVE   SUITE #200,SCOTTSDALE,85255-5687,722110,Full-service restaurants,4,01/25/2002,,"(34.1537, -118.4656)"
0003086858-0001-7,WESTWOOD RESTAURANT LLC,AUDREY AT THE HAMMER,10899   WILSHIRE BLVD,LOS ANGELES,10899 WILSHIRE 90024,2708   WILSHIRE BLVD   SUITE #420,SANTA MONICA,90403-4706,722110,Full-service restaurants,5,01/22/2019,,"(34.0588, -118.4439)"
0002757600-0001-8,"HSI HAVANA LAX F & B, LLC",CAMPANILE,400 WORLD WAY SPACE #6 - 4B,LOS ANGELES,400 WORLD 90045-5888,6905 ROCKLEDGE DRIVE,BETHESDA,20817-1828,722110,Full-service restaurants,11,12/04/2013,,"(33.9429, -118.4079)"
0002978055-0001-1,ASM ENTERPRISE INC,AREA 81,2000   WATTLES DRIVE,LOS ANGELES,2000 WATTLES 90046-2265,929   COLORADO AVENUE,SANTA MONICA,90401-2716,722110,Full-service restaurants,4,02/01/2017,,"(34.1065, -118.3564)"
0003086069-0001-0,PATALKI WESTWOOD INC,CRAZY FALAFEL,10917   LINDBROOK DRIVE,LOS ANGELES,10917 LINDBROOK 90024-3407,,,,722110,Full-service restaurants,5,11/21/2018,,"(34.0597, -118.4451)"
0003128705-0001-9,EL ZARAPE MELROSE CORP,EL ZARAPE BEVERLY,4170   BEVERLY BLVD,LOS ANGELES,4170 BEVERLY 90004,4809 MELROSE AVENUE,LOS ANGELES,90029,722110,Full-service restaurants,13,06/01/2019,,"(34.0761, -118.2999)"
0000105283-0002-8,LAMKONE RESTAURANTS INC,WAHOO'S FISH TACO,4716 LINCOLN BLVD UNIT #C,MARINA DEL REY,4716 LINCOLN 90292-7280,1185   WARNER AVENUE,TUSTIN,92780-6458,722110,Full-service restaurants,0,06/11/2015,,"(33.9802, -118.4385)"
0003002300-0004-6,AREAS CREWS LAX JV LLC,ASHLAND HILL/ASHLAND HILL BAR #327,300   WORLD WAY   SPACE #327,LOS ANGELES,300 WORLD 90045-5856,5301   BLUE LAGOON DRIVE   SUITE #690,MIAMI,33126-7034,722110,Full-service restaurants,11,12/07/2017,,"(33.9451, -118.4072)"
0003054331-0001-3,CHEF NOREE THAI CORP,,7669   BEVERLY BLVD,LOS ANGELES,7669 BEVERLY 90036,7669   BEVERLY BLVD,LOS ANGELES,90036-2727,722110,Full-service restaurants,5,05/06/2018,,"(34.0763, -118.3571)"
0002985801-0001-4,755 TACOS LLC,,755 N LA CIENEGA BLVD,LOS ANGELES,755 LA CIENEGA 90069-5203,9229 W SUNSET BLVD   SUITE #305,WEST HOLLYWOOD,90069-3403,722110,Full-service restaurants,5,05/18/2017,,"(34.0845, -118.3761)"
0002456033-0001-0,LEMONADE RESTAURANT GROUP LLC,,1661 ABBOT KINNEY BLVD,VENICE,1661 ABBOT KINNEY 90291-3744,200   CENTER STREET,EL SEGUNDO,90245-4206,722110,Full-service restaurants,11,08/03/2009,,"(33.9895, -118.4631)"
0002978634-0001-8,TREJOS JEFFERSON LLC,,835 W JEFFERSON BLVD   SUITE #1735,LOS ANGELES,835 JEFFERSON 90089-1735,631 N LARCHMONT BLVD   SUITE #2,LOS ANGELES,90004-1331,722110,Full-service restaurants,9,02/13/2017,,"(34.0204, -118.2861)"
0003042802-0001-7,MEGNA HOLDING INC,,14120   VENTURA BLVD,SHERMAN OAKS,14120 VENTURA 91423-2779,8740   WINNETKA AVENUE,NORTHRIDGE,91324-3232,722110,Full-service restaurants,4,10/01/2017,,"(34.1492, -118.4408)"
0003045636-0001-1,CASSELL'S HAMBURGERS DTLA LLC,,421 W 8TH STREET,LOS ANGELES,421 8TH 90014-3000,26 E COLORADO BLVD      #S-1,PASADENA,91105-1951,722110,Full-service restaurants,14,03/30/2018,,"(34.0447, -118.256)"
0003004441-0001-3,KSGM INC,,333 S ALAMEDA STREET   SUITE #311,LOS ANGELES,333 ALAMEDA 90013-1735,,,,722110,Full-service restaurants,14,08/15/2017,,"(34.0444, -118.2382)"
